binned_mae,rmse,r2,inferred_rated_wind_speed,plateau_power_mean,asset_id,curve,samples,power_min,power_max,preferred_curve
0.17245873348358864,0.19317871295923983,0.4762824197776052,,0.7917133223692194,2,M5000-116_5MW,55763,-0.0043124,1.0442,Senvion_6.2M152_6.15MW
0.13619791085356764,0.16107945252335246,0.6358679503226643,,0.7917133223692194,2,Senvion_6.2M152_6.15MW,55763,-0.0043124,1.0442,Senvion_6.2M152_6.15MW
0.3391831483400363,0.40932883533889525,-3.887290273977615,,0.4672607740336465,5,M5000-116_5MW,50819,-0.0073334,1.03558,Senvion_6.2M152_6.15MW
0.33411799248787827,0.41391443695046337,-3.9974056500035244,,0.4672607740336465,5,Senvion_6.2M152_6.15MW,50819,-0.0073334,1.03558,Senvion_6.2M152_6.15MW
0.3340256356712577,0.40492086856414683,-5.264644281043446,,0.4523901542456961,12,M5000-116_5MW,85868,-0.0090058,1.03946,M5000-116_5MW
0.33945392756713644,0.41449535973202406,-5.564406130835443,,0.4523901542456961,12,Senvion_6.2M152_6.15MW,85868,-0.0090058,1.03946,M5000-116_5MW
0.3450392978086372,0.4219776134240811,-3.9350426466183164,,0.44743866136654403,13,M5000-116_5MW,43096,-0.0065918,1.02206,Senvion_6.2M152_6.15MW
0.34337091815764825,0.4272781350369082,-4.0598008729342165,,0.44743866136654403,13,Senvion_6.2M152_6.15MW,43096,-0.0065918,1.02206,Senvion_6.2M152_6.15MW
0.3860461606698611,0.47715341246856596,-4.085470429140399,,0.38381301155387015,14,M5000-116_5MW,46552,-0.0102805999999999,1.04238,Senvion_6.2M152_6.15MW
0.3775033377678768,0.4793370571705512,-4.132123226369745,,0.38381301155387015,14,Senvion_6.2M152_6.15MW,46552,-0.0102805999999999,1.04238,Senvion_6.2M152_6.15MW
0.24842301869071323,0.28597426305829876,-1.333224069411005,,0.6096766873885437,15,M5000-116_5MW,53644,-0.0056305999999999,1.03938,Senvion_6.2M152_6.15MW
0.2466323004062057,0.29358675591848177,-1.4590959191995738,,0.6096766873885437,15,Senvion_6.2M152_6.15MW,53644,-0.0056305999999999,1.03938,Senvion_6.2M152_6.15MW
0.25748108828070415,0.2950631936479691,-1.2738432724517952,,0.602831581154484,16,M5000-116_5MW,78981,-0.0066208,1.04288,Senvion_6.2M152_6.15MW
0.24392920108715824,0.29429862946057017,-1.2620746291085263,,0.602831581154484,16,Senvion_6.2M152_6.15MW,78981,-0.0066208,1.04288,Senvion_6.2M152_6.15MW
0.39594673176064255,0.49146763818047884,-4.165307613142412,,0.35954716609731185,21,M5000-116_5MW,55884,-0.0065312,1.02378,Senvion_6.2M152_6.15MW
0.38745185973804336,0.49348803362389104,-4.20786347635489,,0.35954716609731185,21,Senvion_6.2M152_6.15MW,55884,-0.0065312,1.02378,Senvion_6.2M152_6.15MW
0.26481661613686786,0.3200272448713078,-1.4608353152740623,,0.5525458989495511,23,M5000-116_5MW,83241,-0.0063494,1.04492,Senvion_6.2M152_6.15MW
0.25614421747325516,0.3221399247051909,-1.4934332759086124,,0.5525458989495511,23,Senvion_6.2M152_6.15MW,83241,-0.0063494,1.04492,Senvion_6.2M152_6.15MW
0.3685065589148981,0.4500330374416194,-4.81897136607165,,0.41383719581635925,32,M5000-116_5MW,51521,-0.0196682,1.04464,Senvion_6.2M152_6.15MW
0.36769329062038375,0.45580245110521317,-4.969125895127127,,0.41383719581635925,32,Senvion_6.2M152_6.15MW,51521,-0.0196682,1.04464,Senvion_6.2M152_6.15MW
0.37586301248503823,0.4602218463506323,-4.185023150562994,,0.4011241294347775,33,M5000-116_5MW,57890,-0.008,1.03618,Senvion_6.2M152_6.15MW
0.36824519613750345,0.46255552104229464,-4.237740490677532,,0.4011241294347775,33,Senvion_6.2M152_6.15MW,57890,-0.008,1.03618,Senvion_6.2M152_6.15MW
0.29273804603926634,0.35401370706723356,-4.578721370430705,,0.5037012211169261,34,M5000-116_5MW,60640,-0.004857,1.02562,M5000-116_5MW
0.30973491064488207,0.3736101363048878,-5.213435813688126,,0.5037012211169261,34,Senvion_6.2M152_6.15MW,60640,-0.004857,1.02562,M5000-116_5MW
0.34710470307511826,0.4160997513027723,-4.852996768531905,,0.4441842695018276,35,M5000-116_5MW,83953,-0.0158812,1.02752,Senvion_6.2M152_6.15MW
0.3435771129971927,0.4205532868316847,-4.978957068342247,,0.4441842695018276,35,Senvion_6.2M152_6.15MW,83953,-0.0158812,1.02752,Senvion_6.2M152_6.15MW
0.3368390726642722,0.41871271283496986,-3.01643813312044,,0.44028688765850293,38,M5000-116_5MW,48671,-0.0072032,1.0431,Senvion_6.2M152_6.15MW
0.3265220935276249,0.42066613387809276,-3.0540013406638833,,0.44028688765850293,38,Senvion_6.2M152_6.15MW,48671,-0.0072032,1.0431,Senvion_6.2M152_6.15MW
0.2309470156173823,0.2832973777366354,-0.17005011265141112,,0.6638665189546075,42,M5000-116_5MW,52322,-0.0053508,1.04102,Senvion_6.2M152_6.15MW
0.19910823763445595,0.2654108525955792,-0.0269675185750462,,0.6638665189546075,42,Senvion_6.2M152_6.15MW,52322,-0.0053508,1.04102,Senvion_6.2M152_6.15MW
0.2061860727490768,0.2352383380513151,0.07861543479455035,,0.7217138734420504,43,M5000-116_5MW,66156,-0.0134159999999999,1.02232,Senvion_6.2M152_6.15MW
0.17711815739862372,0.21857835191368086,0.20450212851040495,,0.7217138734420504,43,Senvion_6.2M152_6.15MW,66156,-0.0134159999999999,1.02232,Senvion_6.2M152_6.15MW
0.21175535895450423,0.24468893908859182,0.0653812191692763,,0.7046742011135222,44,M5000-116_5MW,71077,-0.0159116,1.0296,Senvion_6.2M152_6.15MW
0.1773079345658655,0.22348250860040839,0.22036217143439063,,0.7046742011135222,44,Senvion_6.2M152_6.15MW,71077,-0.0159116,1.0296,Senvion_6.2M152_6.15MW
0.24593303075835743,0.3378781034704369,-0.2577707692123128,,0.6342924640586152,50,M5000-116_5MW,61165,-0.0046112,1.05316,Senvion_6.2M152_6.15MW
0.21316542982389822,0.3245461964782366,-0.16047142066854114,,0.6342924640586152,50,Senvion_6.2M152_6.15MW,61165,-0.0046112,1.05316,Senvion_6.2M152_6.15MW
0.23616848252833736,0.2810066768662414,-0.2476751608170351,,0.659159904159881,52,M5000-116_5MW,75238,-0.0116204,1.04244,Senvion_6.2M152_6.15MW
0.20354035698290013,0.2628050285716499,-0.09127848401643046,,0.659159904159881,52,Senvion_6.2M152_6.15MW,75238,-0.0116204,1.04244,Senvion_6.2M152_6.15MW
0.3727160145680745,0.4546834536288949,-5.709446266012309,,0.39661598063718295,53,M5000-116_5MW,84210,-0.0097284,1.0409,M5000-116_5MW
0.3749155427312328,0.46244059438492774,-5.940332548997474,,0.39661598063718295,53,Senvion_6.2M152_6.15MW,84210,-0.0097284,1.0409,M5000-116_5MW
0.24716880015583143,0.29847184764038515,-1.1252234661308926,,0.5861519533620293,55,M5000-116_5MW,67584,-0.043382,1.03188,Senvion_6.2M152_6.15MW
0.2432182028709077,0.30417747557731234,-1.2072521938722698,,0.5861519533620293,55,Senvion_6.2M152_6.15MW,67584,-0.043382,1.03188,Senvion_6.2M152_6.15MW
0.2155732101681538,0.2452823671764706,0.002748583743302002,,0.713453940433491,56,M5000-116_5MW,54428,-0.0160836,1.07138,Senvion_6.2M152_6.15MW
0.18458245414850857,0.22390579169411187,0.1689968710317028,,0.713453940433491,56,Senvion_6.2M152_6.15MW,54428,-0.0160836,1.07138,Senvion_6.2M152_6.15MW
